gesture,subject_id,trial_id,target,domain
CJHBJBEDECEHJJBBDEECEJHBBJEECEHJBDJBEEEJHBJBDCEEEHBDBJCJEEEHBJDBCJEEDJBEBCJHEEDJBBECJHEDEJECJHCBEDEECJHCJBEEDECJHCBJEDEECJHJCBDEECEJHCBBEECEJHDBCJEECEJHCDBJEEEJHCDBJCEEEHDCBJCJEEHDCBJECJECDCEBJCJHECCDBECHJJCDJCCJHEBJCDJCCJHEBJCDJCCJHEJBDJCCCFHBJEDJCCJFHIJBCJCJFHDBJIJCJAFIDBJCJCJFADIBJCJCJAIDBJCFJJDICBJCFAJJIDBJCCFAJIDJBCCFAJJDJCCEAIBJJDJCCEAIIBJDJCCEABIIDCJCJAEIBIDJCJEAJIIBJCIJEAIDHIJCIAAIDHHJJCAAAIDHHJJCAAIDHHJAJADHHCHJAAJADHHHCJAAAHDJHCJAAHADJCJAAHHHADJCJAAHHHADCJJAAHHHDJJJAAAHHHDJJJAAAHHHJJAJAAHDHHJJAAAHDHHJJIAEBHDHJAIEAEDHHBJAEABDHIBJAEEABHDBIJAEADHAIJEABBADAIJAJHBBAAIDJAJHBBAIADJAJBHBDAIBAJABBDAIBAAJBBIABAAJBDBAIAJGBDBBAIAJBDBBGAIAJDBBBGAABDHBBGJAHBDBHBGJHDAHBGJBBHDHABGJBBHDHABGJBBHDAHBGJBBDHABHGJBJHABHJGBDJHJBJHGBDJJHHGJBDJBJHHJDBJBGJJHBDAJBGJHDHJABGJJHDHAJJGJHDJAJGJHJHDAJJHJHJHDAJJHJHJDJAJHHJHJDHAJHHHHJAHJHHHHDJAHHHHDJHJAHHHHHDJJHAHHHDJJHHDHAJJHHHDAHJJHHHDAHJHHJDAHJHHHJIAHJHHHIAHJHHHIAHJHHHIHAJHHHAHJHHHIAHHHHIAGJHHDAGHDJGDAJHGDAJGDAAJGDAAGJDAAJGADAJGDAAJGADAJGAAGJDAAJDAADJAHDJAHDJADHJDHAJDHAJDAHJADHJADHJADHJAHJAHJAHJHAJAHJAHJAHAHHAAHHAAHAHHHHH,1,1,9,1
BEJHJJEEBEJHJDJBEBEJEHJDJBEEBJHDJJEBEEBJHDJJEBEEBJHDJBEEBEJJHDJBEEJBHDJEBEJEJBHDJEEJBJEHBEDBEJEJJJDEJJEHEJJDEJJEJHJJDEEJJECHJJEEJEJJDBJCEJEEJJDBJCEJEJJDJBECEJEJJDBJECJEEJJDBCEEJJJEDBECJJEJJJDBJCJCJJDJBJJCJCJJDJJJIJBCJJDJJIJJBCJDJJIJJJJBDCJJJJIJBFJJCJJJDBAIJJCJJJDBAIJJCJJDBAIJCJJJJDABJIJCJJJDBJIJCAJDJBIJJJACJDJBJIJACJDJJBJJIACDJJJJHEACBDJJJJHEACBJDJJJHEABJCHJJHEDABHACJJEDABHAEHJEADBJHHAEJEDABJHHEAJEDAHJBHAEJEDHJBAHEEDAHFJBHAEEDAHFBJEEEDAHHBJFEEDHAFJBEHEEHDAJFBEEHDAHIBAJEEHAIHAJEDHEBAHIJAEEHDBAIHJEHEDABBAIJEHDEABAIBJEEDHBAABIJEDHABBEIEADHABJBEIEDAABJEAEDABABJEAADBJBAAJADABABJAJDABAJABAJABAJAAJDBABAAJADJBABAJAJDBABAAJAJDBAJGAJADABJAHJJADABJAJADHJFBJJAADHFJHJAADJHHJJJADHJHJJAJAJDHJHJAJDJHAHJBAJJHABJAJDHHAJBJADJHJHABADJJHJHABADJHJJHABADHJJAJADHBHHJJAAIHHBHJAAIJHBHHJAAIHJBHHJAJHIHBHAJAJHIHHBGJJIHAHHBGJAHBGIJHAHBGIJABHIJHAJHIJHAJHIHAJHIHJJAHIHJJAHDHJHADGJHHADJGHHADGJHHHGJHDHHGJHHDHJHDHGHJHHDAHJHHDAHJHDAGHHDJAGHHDAJGHHDJAGHDAJHHGDAJHGDHAJHGHJAHGDHAJHDGHJHDGAHJHGAHHGAHHAGHHAHHAHHAHAHHHHHHHHHHHHHHH,1,2,9,1
EEEHBDJJBHEEHBDEHJJBEEHBJBHEDEEJHJDEHBBEEJHBBDJEEEJHBEDBJHEJHEDBJEHJEBHEDJBEHJEBHEDEJBHCEJHEBEJHDCHJEEJEBHCDHJEEJEHCJBJHEEHCJBEJJHEFHJJCBJHEEFHCBJEHJEFJHCJBJEEFHBHCBJEJEJBHCJBJJHJJBEBJJJHCJJBECJJJHCJBJECJJJHCJBJEJJJHICBJEJJJJJICJBEJJJJIJCBJEJAICBJJJJEJAICJBJJJEJACJIJJJEBJAICJJJEJJBAIDJJJEBJJIDJJJAJJBEDJJJAHJJBEDJJJAHJJBEDJJJAHJBJEJJJAHDJBEJJJJADJBBEJJAJBDJBJEJABJDJJHJEJABJDJJJEJHAJBJDJJEHJABDJHHEJFHBDJHHAIJFHBDHJHAJHFADJHAABJHFAJDHAABCHFADJHAABCHAFJAHABDCHAJFAHABDCHAAAABDCHHJAAABDJHCAHAAEBDCJHAAHAEBJDCAHAHAEDBJHAAEABJDHAEEAADHJAEBEAADJAHEBEAAJDHAEBEAADJHAEBEAJAHAJBDEAAHAJDBEJAAAJBDEJBAAJJEHDBAAAJDHJEABAAJJHDEBGAAJHDJGBAEGHJDBGJEGADJBHJHEFADJBHJHEFADBHJJHEFAJBHJHDEAJBFHJDHEAFBHJHDEJAJJDHEJBHAJJHIEJBHAJJHBIJEHAGJJIBHAEGJIJJHAHEIJJHJEHAJIJHJEHADJHJJEHADJJHJEHAJJHJDAAJHJHJDAAHJHJDAJAHJDJJAHAHJDAJJHAHJJADJHAHJDJJAHAHJJDAAHDJJHGAHJJDHAGHDJHAGHJDGAGHJGDAHJGGDAHGGDJAHGGADJHGGDJAHGGDAHGGHGAHGGAGGAHGAAHGAAHGAAHGAHAGAHAGAHAGHAGHAGHAAHHAAHAHAHHAHAHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHH,1,3,9,1
BDBJEHJEJDBBEEJHJJEBBEHEJDJJEBBEEHJDJEJBBEEHJDJJEBBJEDEJEHBBJEJBJEEHBBJEBJEJEHBBJEBJEJEHBBJEBJEEJHBJECBEJHJJJEECBEJHJBEECBJEHJEJBCJFEJHBJEBCJFHEJBJBECJFEJJBJEBJCEJJBBEJFCJEJBJEFJJCBEJCEJFJJCBECJJJFJCJBECCJJGJJJBECCJJGJJBEICJFJJCJBECIJAJCBJECIJJAJCJBIJEAJJCEJBIJJEAJCEBJIJAJEJCEBJIJJEACEJJHJBEJCEJJAHJBEJCEJJAHJHECEJJJAHJHECEJAJJHHHECJAJJHEHECBJAJEHJECBHAJJEHJECBHJAJEHJBHAJAJDEHJBHJJAADHEJBHJAAJDEAHBHAAJDEAJBHHAJDAAJABHHAJDAAJABHHADAAAJJBHHADAAJJABHHADAJAJHAHADBFJAAHAABDHEFJAAABDHEFJAABHFEJADAABHEJFADAABHEFAJBAABBEAJBAAFBBAJBAAEFBBABAAEFJBBABAAEAJBBABHAEAJBBABAFAJBHABBFAJAHABBBFAJHABBBAJAJAHBBAJJADHABBAJAJDAHBBAAJJDHABBAJIHAJABBAJIHAJAHBAIHAJAJHJAIAHJAJHJAIGHJAJJAIHAJJJHGAIHJJAHGAIHJAJJGHHJAJABIHHHJAJFJIHHHJJAFJIJHHJAJIJJHFHJAJIJHFJHJAJIHJFJJHAIJHFJJHJAIJHFJJHJAIJHFJJJAIHJJJJHJAIHJJAJHAIHJJAJJHHJAAJJIJHHJAAJJIJHHJAJJHDJHJJGHDJHJHJBJHGJJHBHJGHHBJJGHHBJJHGHBGJHJHBGHJJHBGHJJHBJHGJGHHJBJHHJGBJJGHHBHJGBHHBHGHBHGHBHGHHHGGGGGGGGGGGGGGAAAAAAAAAAAAAAAAAAAAAAAAAA,1,4,9,1
BFBBJEEDBEBFBEEJBDBEBFBBEEJDBBFBEJEBEBCDFEBEJEBBCDEFBEJEBBDEBEJEJCFBDEBEJECJFBDEEJCJFBJEBEEJCJFHJEBEJCFHJEEJEBCFHEJJEBEJCFHJBEEBJECFHEBEJBEJCFHJEEBJCBFEHEEBJJCBEJHEEBJJBEHEBECJJJBEHEBECJJJBEHEEBCJJJBEABCJJHJEBFACJJJJBEBFJJJJJABEBFJJJBAEJBFJIJAJEBABFJIJAJAEBBFHIAJJABEHBFIJAHEAHJCIJJAHEAHJJCAHEABJHJCAJEHABJHJCJAAHEBJHJCJAHBJHAJECJABHJAJEHCJBHJAJHAECJBJAAHEJCJHBAJJEAHCJHBAJHJEHCHJBJAJHHEHCBJAJHHEHJCBAJJHEHHJCJAHHABHFJCAJHAHBHFJDJHAHBHAFJDJHBHFAJADJHBHFAJADJBEFJAHDHJBEFJAHDHABFEJAHDHABFFAJHDHBAFFJAHHBDFFAAHHJBFDFAAHHJDAFAHBFHJDAFAHBBFJDAAHBBFFJBAHBBFJJABABBFJHAJBABJFAJHBBABFJAHJBABBJFJAHBABBJFAJHBBBJAFJABBBBJAFBABBBFBAJABBBBAJABBJBBBJABABJJBBABHJJJBABABHJJJBABAHJJJBBAABHJJBABBJAHJJABBBJAHJJBABJBAHJJBABJHBJGJABJBHBJGJAJJBIGJAJHJJBIHJJAHJHBIHJAJHJHBIHJHJHJABIHJHHJJBAIHJJHJBAIHHJAJBIJHHJABJIJHHJJBAIJHHJAJBIHHJAJBIHHHAJBIHHJAHBIHHACHBIHHACHBIHCHHBAICGHABIGHCAHIGHCAHIGHAHCIGHCHAIGHEHAIHGAEHIGGEAHBGEAGJBGGEGJBHEGGJBEGGHJBEGJHBGEJHBAJHEBAJEHBAHEJBAHEABEHBAEHHEHEHEEE,1,5,9,1
EBBBJEEEBEBBBJEEBBEBEBJEBEBBEBEBJBEBBEBEEBBJBBEEEBEJJBBBEEEBEJBBJEEJBEEJBJEBEEJEJBBJEJBEEJBEJEEJBBEJBEJBJEEEBJBECBJEEEBJJECBEJEBEJFJBEEJBCEJFJEEBBBCEJFJBBEBCEEJJJBBBCEEEJJJBBCEEJEBJJBBCEEBJEJJBCEEEJBJJBBCEEEBJIHJEBEEBAJIHJEECBEAJIJJIEBCAEJJJIEBCAJIEJJICEABJIEJJHABCJEIJJJHCABJIJJEJHCBJIJAEJJHCJJJJEBAJHCBJEBAJHJJCJBAEJBJHJCBJJEABHJJCJBJAEBHJJBCAJHEJHJJBACEJHFJJHJHACFBAJJHIHJAFBJAJHIAHFBJJAJHIHFBAAJJJHIHFBAJJAJHIFBHJAHJJHIBJAHJHHJFIBJHJHAHFIFBJHAHJHAFBBAAHHJHAFBBAAHHHAJFBBAAHHAHFHBAHHABAHHFBAHABAHHFBHABAHAHFBABAHHAHFBABAHHAHFBABAHAHHFBBAAHHHFABBHAHAHABFBAHHABAFBBAHHABAFBBAHAAHBFBABHAAHFBBABEBAHFBBABEBHABFBBEBAHAJJBEBABAJHJIEBAHABJJIEBAABHJJIBBAAHJJEIBBAAHJFJIBHAABJFJBIBAHAJFJHIABAFHJJHIAJFAHJJIAJJHHAJJIJAJHAHJJIJJHGAHJJIJHJAGHJHIJHGJHAJHIJHGJAHJHIHJHHAHHJIHCHAHHJHHCIHAHHJHHICHHAHJHHIHCGJHHHIHCJHGHHHICHJHHHHHICJHHHHHHCBJHHHHHHBJHHCHHHHBJHCHHHHHBHHEHHHHJBHEHHHHJBHEHGHJHHBHEHGJHHBEHGHJHEBHGJHHBEJGHGBEGHGBEGHGBGEHGGEHGGEHGEHGGEHGGEHGGEHGGEGHGEGHAEGHAEGHAEGHAGHAHAHAHAHAHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHH,1,6,9,1
EEBJBEEDHBEEBJEEDHEBBBJEEEDBEBBBEEEBEJBDBBEEEHEJBDBBEEEHJBDBJEEEEHJBDJBEEEHCEBBDJEECBEEDBJHEECBEEDBJHEECEBEDBHEEJEJBEDBHEFJJEEDBHFEBJIEJDHFBBJEJEIDHFBJBEAEHFCJDJBEEAHFJCDBJEAEHJCDBJEFAEHJCDJBEJHJCAEDBJEJJCEADBJHEJJCAEDJBHJECJAJDBGEJJCBJADBGEJJBAJDBGJECJAJBDGJCJBEJADGCJBHBEAJAJBCDHBEJAAJBCDBHEAJABCDBHJEAJACBDBHEJABCAJDBHJECBJADHBAJEBCJHDBHAAJCBHJDBAAJHBCJHDBAAJHBHJDAJCHBABHJDAJCBHAGHAJBCDBHAGHAJBBDHBAAHABJBDHBAAHABBDBHAJAHABBDHBAFABBHADBHFABBAHDEHBAFBBHADHEBAFBBAHDBEFAHBBHADEBFAHBHADAFBBHABAHDEFBBHAAHAFBBBHAAHEFBBHBAHAEFBBBHAAHABBBHAFAHABBHBAFABIAHBBAFBIBABABAFBIABBAAFBBBIABAAFBHIABBAAFBHBAAFIBBAHABAFIHBAABAFHIHBAABAFIHBHABGEIHHBAFGBEHIBHAFJEIHGBHAFJHGIBHEAFHJIHHBEAFIJHHEAFBJIHHEAFBJHHEFAIBJHEFIJHAJHFFBJHACHFJBJHGHCFJBHJGCHJBHJGJCHJBHJGJJCBHJHGJBCHJJHGJCHBHJJJGBCHHJGJJBCHHJGJJCHHJGJBJEHJJBHJGEHJJBJHEGHJHHJGEHJHHJGEHJJHEHHJJHHJEJHHEJHHEJHHEJHHEHJHEJHHEJHHEJHHEJHHEJHHEJHHEJHHJEHGEGHGEGHGEHGGEHGGEGGHEGGHGGHGGHGGHGHGGHGGHAGHAGHAGHAGHAGAHGAHGAHGAHHAHAHAHAHAHAHHH,1,7,9,1
EECHEBBEBBEECBHEBEBBEECEBHEBBBEECHEJBEJBEECJJEEBHEECJJJEEBHEEJCJEJEHJCBJEEJEEHJCJBEEJHFEJCJBEEJFHEJBBEEJJFHEJBBEEJJFHEJBEEBJFHEJJBEEFBHJJEBJEFBFHJEJJBFEBFHJJEJBEFBJJEFBHEFBJJEJFHBJEJBJEJJHJBCJJEHEJHBJCJEJHJHEIBCJJEHHJEIBCEJHJGJEICEJHBJGJECIJEBAJJHEICEJBAJJHICHEJBAJJIHHCJEBAJJHIHCEJBJIHCAJEJHBJIHAJJEHBCJHAAJBHCJEJAHAJDCHJEJHAJADHCEJHAJJACIHEJHAJJACHEJHIAJJABCEJIAJJAHBCAEIAJJAHBCAAIAJJHABCAAIAJJHABBAAIJHAABJAABIJBAAFAABIJBBAAFIBBJAABAAFBIBJAABAFHBBAABAJFHBBAABAFJHBBAABAJFHBBAAAJFBHBBAAAJFBHBBAAAFJBHBBAAFJBHABAABJBHBFFAABJBHJAABBJABHJABBJAABJAHBBJAABJAHBBAABJJAHBHAABJAJHHHAAJJAHBHHAAJJAHJIHAAJFJJHHIAGJFJJHHIGAJJHJIFGAHJJHIJFAGHJJBJFHIJAHJBJFHIBAJHJFBHIBHAJJFBIHAHJJBJBIHAHJJJBBIHHAJJBJBIHABJJJBIHAJHJJBIHAJHJJBIAHHJBIJJHAHJBIJJHAHJBJJBHHAJBJHBHHGHJHBBHHGHJHBBHGHJHHCBGHHJHHCBHGJHHCBHGHJHCBHGHHHCBGHHHCBGHCBHHGHCHHGBHCHHBHGCHHBHGHHCGHHHCGHHHCHHHCHGHCHGHCHGHCHGHCHCHAHCAHHCHACHAHACHACHACHAEHAEAHEHAEAEHEEEEEEE,1,8,3,1
EFJJCBBEEEFJJCBJBEEEJFJBCJBEEEJFJCJBBEEEJJFCJBBEEEJFJJBBEEECFJJBJBEEECJJFBJJEEECFJJJBJEEECJFJJEEJBCJJEFEJBBJEEJJFJBBJEJEEFJBBEJEEEJFJEBBJEEEFJJBEBJEEEFJJBBEJEJEFJJCEJJEEBJJFACJEJEBFJJCAJJEEBJFJACJEJEBFJJCAJJEJBFJJJJCBAJEFJJJABCJJEJFJABCJJEJJJFABCIJEJFJFACBIIJJFJFABCHJIJFFJABCHJIJJFFCAHJIJBFJFACHIJJBFFJACHIJJBJFFHCHIJJBJFFCHHJJBJIJFHJHCBIFJJJJCHIHJIJJFICHHJIJJJACIHHJIJJAJCHIHAJJJJAICHHAJJJJAIBHBAJAJAJHBBJAAIJJAHBBHJAIJAJHBBHJAJAJHBBJHAJJAJBJABJJHABAJBAJJHJJBBJHJAJABJBJHAJJAJBBHJAJAJJBBHJAJAJBABFHAJJAABBFHAJAJABBHFAJJAABBHFAJJABABHFAJJAABBFHAJHAABFABJAHHBAABHAHJABABHBAAJAAIBABAJAHAIBBAAHJAIABABAHJAIABABAHAJIABBAAHAJIABBAAJHAAIBBAAHHAIABFBAHHAIBBFAHAHHFAIHHABAIHHFBHAIHBFHAHAIHBJGHGHIHCJGHGHIHCJHHHGIHCJHHHGIHJCHHHGIHCJHHGIHCJHGHIHCJHHGIHCJHHGHHBCJGHHBHHHCGBHHCHHGBHCHHHGBHCHGHBHCHHGBCHHHGBCHHHBCHHHBCHHHBHCHHBHHHCHCHHHHCHCHHCHHHCHHEHEHHEHHGEHEGHGEHGEHGEHEHGAEHAHAHAHAHAHAHAHHHHHHHHHHHHHHHHHHHHHHHHHHHHHH,1,9,3,1
CJBJEEBEEBJBEJEEBCEBJBEEJBECBEJBJEEEBCEBJBBEEEJCEJJEBEEJCBJEEEJEJCBBEEEJJJCBEBEJEEJJCJBEJEJEJCJFEBEJJEBJJBEFEJEJBJFEBJJEJBJBFEJEJEJJFEEJBBEJJJEBJJFBJEJJFJEJBBEJJEJFJBBJEJJFJEJBBJJFJJEEJBJBJFEJJJBJFBJFJJEJBJBFEJJFJBJFJBEFJJJBBFBJJEJBBFJFJBJEJBBJFJCJJEJBFCJJJBEJJJCJJBFBHEJJBFJJCBHEJCJJFJBBHEJJFCJJBBHJJIFJJBBCJIJHJJBBCFJJJHIJBBCFJJIHJBBFCJIHJJBBCJFJHIJBBJCJAJIHJBBAJJJCHIJBCJAJJBIHJBCJJJABIHHBAJJJCBIHHJAJJBBBIHHJJJAIBBJJIHJHIBABJIJHJIHBBAJJHJIHIBABJJIHJIBJABAGHJIBJBFAAHJIBJGFABAHJIBJAGFBHHJBBAJAFIHHJBFJBAAIHHJBJAAFBIHHJAJAFBIBHHJJFAAIBBHAJFHJIBBAAHJFHJIBABAHFJHJIBABHJAHBIBBFAHAHBIHJAFBHHBHAABJFHBBBHAFJABHHHAFAJBHBHHJABAFHBHHBAAJFHBHBAAJFHBHAAFJHHBBFJBAHBHAABFJBHHAHAJBBHHAFHBAJBHHIJAABBHIJAJBBHIGJAJBBHIGJGJBBHJIJGGBBHGIJJGJBHGGJJIBJHIGJJGJBJJHGHIHJJJBHGIJJHBHHGIJCHHHIJGJHCHHIGJJCHIHGHHJCHIHHHGCJHIHHHGJCHHGHHIJCHGBHHJCHHBGHCJHHBHJHCHHBHJCHHBJCHHHBJHCHBHJCHHHBCBHHCHBCBHCHBCHBCBHCGBGCBAEBEABEAEAEAEAEAEAEAEAEAAEAEAEEAEAEAAAAAAAAAAAAAAA,1,10,6,1
EJCJJEECJCEJJJEECCJCEJJJEECCJCJJEEECJCJCJJEEECCJJCJJEEECJCJCEJEEECJCCJEJEEECCJCJEJEECJCCJEJEEECJEJCCEEAJCJEECCEACJJECCCEEACJJECECBACIJECBECCCAEJCECCBEAECCECCJEBAACECBCECJAAJECBCECJAAJCECCEBHHAJCEBCECHHACICEHEBAEICHEHECEBICHEHAECBAIHAEHECCBAIHAJCECEABIHAJECCAEIIHAJECCEAHHEEIJHCEAJHEIIECHAJEAEEIICHAJEAEIEIHAAJCAEIEIHACJAAEIHJCAEHAHAHEAJEHCAHAHEAJCHACHAEJACHHCAHAEJCHHAACHAEJCHAAHCAHEJCHEAAAEAIABAAEAEAAIAEBAAEAAIBIEAAEAIAHAEIAEAAHHEAIEAAHHIAEAAAHHIAIAAAHHIIAAHAHIAIAAAHAAAIHAHAHAAHHAHAHHHAHABHHAAHBHHAAHBHJAHAJHJAHHJJAAHHJAJHHACAJCHAHAJHCHAJHHHJEHHHJEHHEJHHJEHHEJHEJHJJHHJHJHHHH,2,1,8,1
EEIJEBHEJEEJBEIBHEJEEJBEBHIEJEEJIECIHEJEEJEIICEJEEHEJIIECEEHEIJJCECHEJIJEECCEAIJEJECEECAEEEJECEAEEEJEEBEEEAEEJBEEEEAEEJEEBEEEIAIEJEEEEABIEHJEEECBAAEHJEECEBAAEHJECEEBAIHCJACCEBIJAACCJEHBJAAEIJHCHCIHAJEIJHCCHIAJIEJJHCAHJIJHIICAHAJJIIHICAHAJHIAJACHHAJHIACAJEHHHJAIJACHHEHJIAAJJHEHJHAAAIJHHHIEAIAJIHHIEJAJIAIHJHEJIAHHAIHEJJIAHHAIHJEAIBBHAHEIABBHAHAEIABJHAAHIEBJHAHAAIEHJHAHAAIEJHHAAAAEIJHAHAAAAAJHAHHAAAJAAHAAHAEAAAHAAHHAAAAEHHHAAAAAEHHHAAAAHEHAHAAAHHEAHAAAAEHHAHAAAAEHAHAAHAAEHHAHAAAEHHHAAAAHEHAHAAAHHAAHHHAHJAJHAJHAJHAJHJHJHJHHHHHH,2,2,8,1
EEJJJJEECJEJIJJEECJEJAEJEEJCEJAJEJEECEJJJAEJEEECEJAJEJCEECEJJAEJCEEECJJEJCEECAEEEECACJEEEEEECCAEECEEEEACCEAECEEECCAEACEEECEAAEEECCCEAEAECCBEEACECEBCEAIECEBCAECAIEJECECABAIEJJEIBAIAEIJJAIHEIAJIJIEHIEAAIJIIEJAHCAIJIEIJHHACIJIEJIHEAAAJIIEJHAEAAEJHJIAAEIEJAHJIAIJEEJAJIIJAEHEJAJAIEHJHEJAJAIIHHHEJAJAIHIHHEJAJAHIIHAJAJIEEIHAHAIJHEAEAAAAJHEAAEAAAJIEAEAAAAJAAEIAAAJAAAEAIAAJHAEAAAAAHHAEAAAAHHAAEAAAAHAHAEAAAAAHHHEAAAAHHHEAAAAHHHAAEAAHHHAEAAHHHACAHHHAAHHHAHHHAHHAHHAHHAHJAJAJHJHJHJHJHJHJHHHHH,2,3,8,1
JJJJEEECAEJJEEJECJEJJJEEAEEJCJJEEAJEECJJJEEAECJJJJEEEAECJEJJCAEEEEEEJEECAEEEEEEJECEAEEEEJECEACEEEEECAJECEAEECAJECAEEEEAJEECEAEEEAJEEJACEEEJEAIJAAEEEEEAAJAIEEEEEAJAIEEEAEAIEJAEAAAEAJEAIAAAHEJIAIEAHAHJEIIIAAHJEHJEAIHIAJEEAJHIHAAIEJAJJIHAAIEJIJJIAHAAEIHJJHIAAAHHJJHEIAAHAHJJIEAAHAHJJIEAIAHAHJJIIEAAHJHJJIAEAJHJAJJEAAJHJJJAEAAAHJJAAEJAAHEAAEJJAHAAAAJEJAAAAAJAEJAAHAAJAJAHAAAAEAJAAHAAEAAJAHAAEAAJAHAAAAEAHAHAAAEAHHAEAAHAAHAAHAAEHHAAHEHHAEAHHHAEHAHHAHHHHHAHHHHHHHHHHHHHHHHHHHHHHJJJAAAAAA,2,4,8,1
